REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
396515,12km,F,30,25-34,13,True,9,False,True,True,3
396526,12km,F,23,18-24,13,True,9,False,False,True,2
396532,12km,F,34,25-34,13,True,9,False,False,True,2
396534,21km,H,62,55-64,05,False,9,True,False,True,0
396557,12km,F,41,35-44,13,True,9,False,True,True,3
396560,21km,H,24,18-24,13,True,9,False,True,True,3
396569,12km,H,61,55-64,13,True,9,False,False,True,2
396573,21km,H,28,25-34,13,True,9,False,False,True,4
396574,21km,H,28,25-34,13,True,9,False,False,True,4
396601,12km,H,39,35-44,34,False,9,False,False,False,1
396602,12km,F,24,18-24,13,True,9,False,False,True,2
396606,12km,F,38,35-44,13,True,9,False,False,True,2
396607,12km,H,24,18-24,49,False,9,False,False,True,1
396612,21km,F,20,18-24,13,True,9,False,False,True,4
396664,21km,H,39,35-44,13,True,9,False,False,True,4
396670,21km,H,25,25-34,83,False,9,False,False,True,1
396672,12km,F,25,25-34,13,True,9,False,False,True,2
396684,21km,H,22,18-24,13,True,9,True,False,True,0
396690,12km,F,38,35-44,13,True,9,False,True,True,3
396736,21km,H,30,25-34,34,False,9,False,False,True,1
396748,12km,H,52,45-54,13,True,9,False,False,True,2
396769,12km,H,29,25-34,13,True,9,False,False,True,2
396773,12km,H,33,25-34,83,False,9,False,True,True,3
396791,12km,H,22,18-24,13,True,9,False,False,True,2
396795,12km,H,36,35-44,13,True,9,False,False,True,2
396798,21km,H,37,35-44,91,False,9,False,False,True,1
396825,12km,H,35,35-44,13,True,9,False,False,True,2
396832,12km,H,33,25-34,13,True,9,False,False,True,2
396865,21km,H,51,45-54,34,False,9,False,False,True,1
396866,21km,F,25,25-34,34,False,9,False,True,True,3
396869,12km,H,28,25-34,13,True,9,False,False,True,2
396877,12km,H,47,45-54,13,True,9,False,False,True,2
396881,12km,H,42,35-44,13,True,9,False,False,True,2
396922,12km,H,34,25-34,13,True,9,False,False,True,2
396930,21km,H,23,18-24,13,True,9,False,False,True,4
396947,12km,F,34,25-34,13,True,9,False,False,True,2
396952,12km,F,48,45-54,13,True,9,False,False,True,2
396966,12km,F,25,25-34,13,True,9,False,False,True,2
396990,21km,H,26,25-34,13,True,9,False,False,True,4
397029,12km,H,33,25-34,13,True,9,False,False,True,2
397039,21km,H,34,25-34,13,True,9,False,False,True,4
397087,12km,F,23,18-24,13,True,9,False,False,True,2
